"Co_Ca","Lith","SGDsd","SGDmean","SGDtot","OFtot","CRtot","R1tot","R2tot","k1","k2","k3","K_r3","S1max","S2max","D3","P","ET_act","ET_pot"
46,100,0.000481123536275917,1.90393211460515,695.207212132967,239.722143307509,62.5907091015792,1067.52481313442,695.176040610343,63.07608299,22.35244606,722.426269613079,3.56925170116319e-06,408.9237668,330.37981326,13287.9937886746,2014.78528182286,1079.887097905,1103.14093571429
47,100,0.000283590926567394,2.18667096286726,798.447283012675,212.114806191049,69.2556851078648,1251.880319207,798.459606693734,82.58032474,29.34765979,630.584221851973,1.92308362653253e-06,409.7026022,321.52335054,4120.04948242337,2030.66999437929,1020.0955814945,1023.45063842857
50,1,0.00032179950534428,4.19453293277271,1531.60373945244,267.814142764387,86.0474118222474,2450.70544995632,1531.53511530133,101.7610769,36.29265385,8.8252417296746,2.28240626791454e-06,519.5652174,305.95115383,43434.1460205153,2667.46828121571,868.11902315,868.11902315
52,10,0.00444802022621871,3.10968694044517,1135.47997425398,158.570196016722,71.0491021834686,1797.90505340105,1135.46396697278,264.8507727,95.65554545,65.3026596885088,2.65768646540275e-05,162.9411765,299.30727274,67533.7528366979,1991.36021140143,697.326048411931,727.609916935714
53,10,0.000619547363646272,2.89372377276337,1056.62256616902,391.976734073178,62.4903106488694,1800.14103634064,1056.59819329654,62.82962319,22.17828986,65.1717615514095,5.2780165067708e-06,433.59375,312.06608699,15610.5592829118,2586.98221618571,1138.40728881599,1142.99672057143
54,1,0.000194323381125966,3.97566844948206,1451.68693669659,284.536327233704,96.540831381825,2588.15762991261,1451.67789178987,128.043878,45.16158537,8.47584,9.71773217382913e-07,376.6055046,305.21963416,55940.5625828748,2629.98510538786,893.770886364286,893.770886364286
55,10,0.0017238773194799,2.89117906515089,1055.69338436081,405.743756240229,63.2939464310515,1771.46766085492,1055.65701852019,59.79411628,21.08197674,71.2418485585877,1.40164988339185e-05,425.9677419,313.9304651,17081.3435083267,2586.98221618571,1125.5814414253,1132.604619
57,1,0.00100820108236512,3.06822375597509,1120.33998861033,93.0658194950128,91.0694478055592,2130.50117973458,1120.40590297616,216.80875,80.46489286,8.47584,5.81668845351112e-06,280.9756098,300.20499999,54648.2365756493,2151.63108633286,938.159363861688,992.381896285714
58,1,0.000514208038143316,3.26752871953188,1193.11477244621,91.5843629786967,87.1074270397102,2310.13539884024,1193.05811006894,227.842,80.85407407,8.47584,2.90413604673009e-06,283.3333333,288.50888892,32286.7562802841,2151.63108633286,866.98861328522,881.997407928571
62,1,5.88494692584349e-05,3.84718558918744,1404.77233799473,268.559079585538,87.996879251933,2427.91353218642,1404.76272055089,111.647213,39.36071598,11.1402693115249,4.58846177320941e-07,426.0504202,302.29189347,42735.5049181734,2639.98416848643,966.66236835,966.66236835
63,10,0.000361967999967196,3.11507915913296,1137.44890439198,80.5413001126796,95.0176033704699,1716.9083719806,1137.49358666303,141.9190041,50.31952282,156.808922229583,1.98723992346876e-06,388.1081081,312.58601661,11917.0029863576,2111.66288472571,893.62799795,893.62799795
